# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 8.82894690E+00    1.56440878E+00
 8.78049477E+00    1.53147440E+00
 8.73825382E+00    1.49429555E+00
 8.70234786E+00    1.45336960E+00
 8.67281024E+00    1.40919594E+00
 8.64958541E+00    1.36226864E+00
 8.63253192E+00    1.31306948E+00
 8.62142657E+00    1.26206139E+00
 8.61596994E+00    1.20968235E+00
 8.61579293E+00    1.15633996E+00
 8.62046444E+00    1.10240664E+00
 8.62949982E+00    1.04821562E+00
 8.64237016E+00    9.94057721E-01
 8.65851218E+00    9.40178996E-01
 8.67733849E+00    8.86779249E-01
 8.69824821E+00    8.34011449E-01
 8.72063760E+00    7.81982034E-01
 8.74391071E+00    7.30752103E-01
 8.76748971E+00    6.80339444E-01
 8.79082483E+00    6.30721374E-01
 8.81340376E+00    5.81838325E-01
 8.83476026E+00    5.33598103E-01
 8.85448198E+00    4.85880754E-01
 8.87221725E+00    4.38543925E-01
 8.88768080E+00    3.91428646E-01
 8.90065823E+00    3.44365408E-01
 8.91100935E+00    2.97180438E-01
 8.91867008E+00    2.49702055E-01
 8.92365309E+00    2.01766993E-01
 8.92604706E+00    1.53226570E-01
 8.92601467E+00    1.03952611E-01
 8.92378916E+00    5.38429895E-02
 8.91966980E+00    2.82671146E-03
 8.91401612E+00   -4.91315671E-02
 8.90724104E+00   -1.02027668E-01
 8.89980311E+00   -1.55814739E-01
 8.89219791E+00   -2.10400887E-01
 8.88494868E+00   -2.65647638E-01
 8.87859653E+00   -3.21369277E-01
 8.87369021E+00   -3.77333064E-01
 8.87077568E+00   -4.33260359E-01
 8.87038564E+00   -4.88828633E-01
 8.87302922E+00   -5.43674344E-01
 8.87918199E+00   -5.97396648E-01
 8.88927635E+00   -6.49561890E-01
 8.90369272E+00   -6.99708809E-01
 8.92275130E+00   -7.47354385E-01
 8.94670495E+00   -7.92000246E-01
 8.97573297E+00   -8.33139525E-01
 9.00993610E+00   -8.70264076E-01
 9.04933270E+00   -9.02871934E-01
 9.09385628E+00   -9.30474902E-01
 9.14335435E+00   -9.52606143E-01
 9.19758867E+00   -9.68827675E-01
 9.25623683E+00   -9.78737619E-01
 9.31889527E+00   -9.81977123E-01
 9.38508358E+00   -9.78236814E-01
 9.45425006E+00   -9.67262699E-01
 9.52577848E+00   -9.48861406E-01
 9.59899593E+00   -9.22904680E-01
 9.67318164E+00   -8.89333055E-01
 9.74757663E+00   -8.48158643E-01
 9.82139404E+00   -7.99466988E-01
 9.89383006E+00   -7.43417935E-01
 9.96407514E+00   -6.80245517E-01
 1.00313255E+01   -6.10256822E-01
 1.00947944E+01   -5.33829873E-01
 1.01537239E+01   -4.51410533E-01
 1.02073954E+01   -3.63508465E-01
 1.02551404E+01   -2.70692217E-01
 1.02963502E+01   -1.73583480E-01
 1.03304850E+01   -7.28506114E-02
 1.03570822E+01    3.07985056E-02
 1.03757628E+01    1.36624145E-01
 1.03862378E+01    2.43862873E-01
 1.03407579E+01    3.19950577E-01
 1.03448192E+01    4.27527110E-01
 1.03404746E+01    5.35169415E-01
 1.03276783E+01    6.42091436E-01
 1.03064829E+01    7.47515791E-01
 1.02770394E+01    8.50682445E-01
 1.02395955E+01    9.50857138E-01
 1.01944927E+01    1.04733944E+00
 1.01421616E+01    1.13947031E+00
 1.00831167E+01    1.22663913E+00
 1.00179487E+01    1.30828995E+00
 9.94731746E+00    1.38392708E+00
 9.87194242E+00    1.45311975E+00
 9.79259302E+00    1.51550588E+00
 9.71007824E+00    1.57079498E+00
 9.62523552E+00    1.61876992E+00
 9.53891942E+00    1.65928781E+00
 9.45199005E+00    1.69227981E+00
 9.36530147E+00    1.71774999E+00
 9.27969029E+00    1.73577320E+00
 9.19596452E+00    1.74649195E+00
 9.11489302E+00    1.75011257E+00
 9.03719552E+00    1.74690038E+00
 8.96353348E+00    1.73717432E+00
 8.89450188E+00    1.72130080E+00
 8.83062210E+00    1.69968709E+00
 8.77233589E+00    1.67277431E+00
 8.72000067E+00    1.64103006E+00
 8.67388612E+00    1.60494085E+00
 8.63417207E+00    1.56500453E+00
 8.60094788E+00    1.52172266E+00
 8.57421312E+00    1.47559318E+00
 8.55387966E+00    1.42710323E+00
 8.53977504E+00    1.37672244E+00
 8.53164718E+00    1.32489666E+00
